startGMT;endGMT;steps;primaryActivityLevel;activityLevelConstant
2021-05-21T10:00:00.0;2021-05-21T10:15:00.0;0;sedentary;true
2021-05-21T10:15:00.0;2021-05-21T10:30:00.0;0;sedentary;true
2021-05-21T10:30:00.0;2021-05-21T10:45:00.0;0;sedentary;true
2021-05-21T10:45:00.0;2021-05-21T11:00:00.0;0;sedentary;true
2021-05-21T11:00:00.0;2021-05-21T11:15:00.0;0;sedentary;true
2021-05-21T11:15:00.0;2021-05-21T11:30:00.0;0;sedentary;true
2021-05-21T11:30:00.0;2021-05-21T11:45:00.0;0;sedentary;true
2021-05-21T11:45:00.0;2021-05-21T12:00:00.0;0;sedentary;true
2021-05-21T12:00:00.0;2021-05-21T12:15:00.0;0;sedentary;true
2021-05-21T12:15:00.0;2021-05-21T12:30:00.0;0;sedentary;true
2021-05-21T12:30:00.0;2021-05-21T12:45:00.0;0;sedentary;true
2021-05-21T12:45:00.0;2021-05-21T13:00:00.0;0;sedentary;true
2021-05-21T13:00:00.0;2021-05-21T13:15:00.0;0;sedentary;true
2021-05-21T13:15:00.0;2021-05-21T13:30:00.0;0;sedentary;true
2021-05-21T13:30:00.0;2021-05-21T13:45:00.0;0;sedentary;true
2021-05-21T13:45:00.0;2021-05-21T14:00:00.0;0;sedentary;true
2021-05-21T14:00:00.0;2021-05-21T14:15:00.0;0;sedentary;true
2021-05-21T14:15:00.0;2021-05-21T14:30:00.0;0;sedentary;true
2021-05-21T14:30:00.0;2021-05-21T14:45:00.0;0;sedentary;true
2021-05-21T14:45:00.0;2021-05-21T15:00:00.0;0;sedentary;true
2021-05-21T15:00:00.0;2021-05-21T15:15:00.0;0;sedentary;true
2021-05-21T15:15:00.0;2021-05-21T15:30:00.0;0;sedentary;true
2021-05-21T15:30:00.0;2021-05-21T15:45:00.0;0;sedentary;true
2021-05-21T15:45:00.0;2021-05-21T16:00:00.0;0;sedentary;true
2021-05-21T16:00:00.0;2021-05-21T16:15:00.0;0;sedentary;true
2021-05-21T16:15:00.0;2021-05-21T16:30:00.0;0;sedentary;true
2021-05-21T16:30:00.0;2021-05-21T16:45:00.0;165;sedentary;false
2021-05-21T16:45:00.0;2021-05-21T17:00:00.0;87;sedentary;false
2021-05-21T17:00:00.0;2021-05-21T17:15:00.0;0;sedentary;true
2021-05-21T17:15:00.0;2021-05-21T17:30:00.0;0;sedentary;true
2021-05-21T17:30:00.0;2021-05-21T17:45:00.0;0;sedentary;true
2021-05-21T17:45:00.0;2021-05-21T18:00:00.0;0;sedentary;true
2021-05-21T18:00:00.0;2021-05-21T18:15:00.0;0;sedentary;true
2021-05-21T18:15:00.0;2021-05-21T18:30:00.0;0;sedentary;true
2021-05-21T18:30:00.0;2021-05-21T18:45:00.0;0;sedentary;true
2021-05-21T18:45:00.0;2021-05-21T19:00:00.0;0;sedentary;true
2021-05-21T19:00:00.0;2021-05-21T19:15:00.0;0;sedentary;true
2021-05-21T19:15:00.0;2021-05-21T19:30:00.0;0;sedentary;true
2021-05-21T19:30:00.0;2021-05-21T19:45:00.0;0;sedentary;true
2021-05-21T19:45:00.0;2021-05-21T20:00:00.0;0;sedentary;true
2021-05-21T20:00:00.0;2021-05-21T20:15:00.0;0;sedentary;true
2021-05-21T20:15:00.0;2021-05-21T20:30:00.0;0;sedentary;true
2021-05-21T20:30:00.0;2021-05-21T20:45:00.0;139;sedentary;false
2021-05-21T20:45:00.0;2021-05-21T21:00:00.0;53;sedentary;true
2021-05-21T21:00:00.0;2021-05-21T21:15:00.0;0;sleeping;false
2021-05-21T21:15:00.0;2021-05-21T21:30:00.0;0;sleeping;true
2021-05-21T21:30:00.0;2021-05-21T21:45:00.0;0;sleeping;true
2021-05-21T21:45:00.0;2021-05-21T22:00:00.0;0;sleeping;true
2021-05-21T22:00:00.0;2021-05-21T22:15:00.0;0;sleeping;true
2021-05-21T22:15:00.0;2021-05-21T22:30:00.0;0;sleeping;true
2021-05-21T22:30:00.0;2021-05-21T22:45:00.0;0;sleeping;true
2021-05-21T22:45:00.0;2021-05-21T23:00:00.0;8;sleeping;true
2021-05-21T23:00:00.0;2021-05-21T23:15:00.0;0;sleeping;true
2021-05-21T23:15:00.0;2021-05-21T23:30:00.0;0;sleeping;true
2021-05-21T23:30:00.0;2021-05-21T23:45:00.0;0;sleeping;true
2021-05-21T23:45:00.0;2021-05-22T00:00:00.0;0;sleeping;true
2021-05-22T00:00:00.0;2021-05-22T00:15:00.0;0;sleeping;true
2021-05-22T00:15:00.0;2021-05-22T00:30:00.0;0;sleeping;true
2021-05-22T00:30:00.0;2021-05-22T00:45:00.0;0;sleeping;true
2021-05-22T00:45:00.0;2021-05-22T01:00:00.0;0;sleeping;true
2021-05-22T01:00:00.0;2021-05-22T01:15:00.0;0;sleeping;true
2021-05-22T01:15:00.0;2021-05-22T01:30:00.0;23;sleeping;true
2021-05-22T01:30:00.0;2021-05-22T01:45:00.0;0;sleeping;true
2021-05-22T01:45:00.0;2021-05-22T02:00:00.0;0;sleeping;true
2021-05-22T02:00:00.0;2021-05-22T02:15:00.0;0;sleeping;true
2021-05-22T02:15:00.0;2021-05-22T02:30:00.0;0;sleeping;true
2021-05-22T02:30:00.0;2021-05-22T02:45:00.0;11;sleeping;true
2021-05-22T02:45:00.0;2021-05-22T03:00:00.0;0;sleeping;true
2021-05-22T03:00:00.0;2021-05-22T03:15:00.0;0;sleeping;true
2021-05-22T03:15:00.0;2021-05-22T03:30:00.0;0;sleeping;true
2021-05-22T03:30:00.0;2021-05-22T03:45:00.0;0;sleeping;true
2021-05-22T03:45:00.0;2021-05-22T04:00:00.0;0;sleeping;true
2021-05-22T04:00:00.0;2021-05-22T04:15:00.0;0;sleeping;true
2021-05-22T04:15:00.0;2021-05-22T04:30:00.0;0;sleeping;true
2021-05-22T04:30:00.0;2021-05-22T04:45:00.0;0;sleeping;true
2021-05-22T04:45:00.0;2021-05-22T05:00:00.0;27;sedentary;false
2021-05-22T05:00:00.0;2021-05-22T05:15:00.0;0;sedentary;true
2021-05-22T05:15:00.0;2021-05-22T05:30:00.0;0;sedentary;true
2021-05-22T05:30:00.0;2021-05-22T05:45:00.0;0;sedentary;true
2021-05-22T05:45:00.0;2021-05-22T06:00:00.0;0;sedentary;true
2021-05-22T06:00:00.0;2021-05-22T06:15:00.0;0;sedentary;true
2021-05-22T06:15:00.0;2021-05-22T06:30:00.0;0;sedentary;true
2021-05-22T06:30:00.0;2021-05-22T06:45:00.0;0;sedentary;true
