id;userProfilePK;calendarDate;sleepTimeSeconds;napTimeSeconds;sleepWindowConfirmed;sleepWindowConfirmationType;sleepStartTimestampGMT;sleepEndTimestampGMT;sleepStartTimestampLocal;sleepEndTimestampLocal;autoSleepStartTimestampGMT;autoSleepEndTimestampGMT;sleepQualityTypePK;sleepResultTypePK;unmeasurableSleepSeconds;deepSleepSeconds;lightSleepSeconds;remSleepSeconds;awakeSleepSeconds;deviceRemCapable;retro
1628110680000;4405865;2021-08-05;25380;0;true;enhanced_confirmed_final;1628110680000;1628136540000;1628117880000;1628143740000;1628109000000;1628135760000;;;0;2340;17640;5400;480;true;false
1628197680000;4405865;2021-08-06;23100;0;true;enhanced_confirmed_final;1628197680000;1628220780000;1628204880000;1628227980000;1628192760000;1628221440000;;;0;0;16020;7080;0;true;false
1628285400000;4405865;2021-08-07;24960;0;true;enhanced_confirmed;1628285400000;1628311320000;1628292600000;1628318520000;1628284860000;1628321100000;;;0;3300;13140;8520;960;true;false
1628375160000;4405865;2021-08-08;37140;0;true;auto_confirmed_final;1628375160000;1628413140000;1628382360000;1628420340000;1628375160000;1628413140000;;;0;17520;19620;0;840;true;false
1628456220000;4405865;2021-08-09;29700;0;true;enhanced_confirmed;1628456220000;1628486040000;1628463420000;1628493240000;1628456220000;1628499060000;;;0;2160;19200;8340;120;true;false
1628543280000;4405865;2021-08-10;21180;0;true;enhanced_confirmed_final;1628543280000;1628565000000;1628550480000;1628572200000;1628539980000;1628564940000;;;0;960;15300;4920;540;true;false
1628629380000;4405865;2021-08-11;27120;0;true;enhanced_confirmed;1628629380000;1628656620000;1628636580000;1628663820000;1628628420000;1628655960000;;;0;3540;14940;8640;120;true;false
1628718900000;4405865;2021-08-12;20820;0;true;enhanced_confirmed_final;1628718900000;1628741520000;1628726100000;1628748720000;1628713320000;1628735520000;;;0;1740;15780;3300;1800;true;false
1628802600000;4405865;2021-08-13;23460;0;true;enhanced_confirmed_final;1628802600000;1628826480000;1628809800000;1628833680000;1628798220000;1628827380000;;;0;2520;11760;9180;420;true;false
1628888100000;4405865;2021-08-14;29940;0;true;enhanced_confirmed;1628888100000;1628918220000;1628895300000;1628925420000;1628887620000;1628927640000;;;0;3180;17400;9360;180;true;false
1628974860000;4405865;2021-08-15;27360;0;true;enhanced_confirmed_final;1628974860000;1629002400000;1628982060000;1629009600000;1628974320000;1629001560000;;;0;2220;18180;6960;180;true;false
1629059160000;4405865;2021-08-16;32040;0;true;enhanced_confirmed;1629059160000;1629091440000;1629066360000;1629098640000;1629058140000;1629088020000;;;0;3420;17340;11280;240;true;false
1629148500000;4405865;2021-08-17;21120;0;true;enhanced_confirmed;1629148500000;1629169680000;1629155700000;1629176880000;1629147960000;1629169620000;;;0;2160;14160;4800;60;true;false
